+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                           ;
+-------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                       ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; radioberry_core_i|radio_i|MDC[2].receiver_inst|cic_inst_Q2|cic_stages[2].cic_integrator_inst    ; 27    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[2].receiver_inst|cic_inst_Q2|cic_stages[1].cic_comb_inst          ; 27    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[2].receiver_inst|cic_inst_Q2|cic_stages[1].cic_integrator_inst    ; 27    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[2].receiver_inst|cic_inst_Q2|cic_stages[0].cic_comb_inst          ; 27    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[2].receiver_inst|cic_inst_Q2|cic_stages[0].cic_integrator_inst    ; 27    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[2].receiver_inst|cic_inst_Q2                                      ; 20    ; 1              ; 0            ; 1              ; 16     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[2].receiver_inst|cic_inst_I2|cic_stages[2].cic_comb_inst          ; 27    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[2].receiver_inst|cic_inst_I2|cic_stages[2].cic_integrator_inst    ; 27    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[2].receiver_inst|cic_inst_I2|cic_stages[1].cic_comb_inst          ; 27    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[2].receiver_inst|cic_inst_I2|cic_stages[1].cic_integrator_inst    ; 27    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[2].receiver_inst|cic_inst_I2|cic_stages[0].cic_comb_inst          ; 27    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[2].receiver_inst|cic_inst_I2|cic_stages[0].cic_integrator_inst    ; 27    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[2].receiver_inst|cic_inst_I2                                      ; 20    ; 1              ; 0            ; 1              ; 17     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[2].receiver_inst|cordic_inst                                      ; 45    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[2].receiver_inst                                                  ; 52    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|fir2|DH|ram|altsyncram_component|auto_generated  ; 54    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|fir2|DH|ram                                      ; 54    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|fir2|DH|rom|altsyncram_component|auto_generated  ; 9     ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|fir2|DH|rom                                      ; 9     ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|fir2|DH                                          ; 46    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|fir2|CG|ram|altsyncram_component|auto_generated  ; 54    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|fir2|CG|ram                                      ; 54    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|fir2|CG|rom|altsyncram_component|auto_generated  ; 9     ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|fir2|CG|rom                                      ; 9     ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|fir2|CG                                          ; 46    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|fir2|BF|ram|altsyncram_component|auto_generated  ; 54    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|fir2|BF|ram                                      ; 54    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|fir2|BF|rom|altsyncram_component|auto_generated  ; 9     ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|fir2|BF|rom                                      ; 9     ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|fir2|BF                                          ; 46    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|fir2|AE|ram|altsyncram_component|auto_generated  ; 54    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|fir2|AE|ram                                      ; 54    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|fir2|AE|rom|altsyncram_component|auto_generated  ; 9     ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|fir2|AE|rom                                      ; 9     ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|fir2|AE                                          ; 46    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|fir2                                             ; 39    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|varcic_inst_Q1|cic_stages[4].cic_comb_inst       ; 45    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|varcic_inst_Q1|cic_stages[4].cic_integrator_inst ; 45    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|varcic_inst_Q1|cic_stages[3].cic_comb_inst       ; 45    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|varcic_inst_Q1|cic_stages[3].cic_integrator_inst ; 45    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|varcic_inst_Q1|cic_stages[2].cic_comb_inst       ; 45    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|varcic_inst_Q1|cic_stages[2].cic_integrator_inst ; 45    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|varcic_inst_Q1|cic_stages[1].cic_comb_inst       ; 45    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|varcic_inst_Q1|cic_stages[1].cic_integrator_inst ; 45    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|varcic_inst_Q1|cic_stages[0].cic_comb_inst       ; 45    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|varcic_inst_Q1|cic_stages[0].cic_integrator_inst ; 45    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|varcic_inst_Q1                                   ; 24    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|varcic_inst_I1|cic_stages[4].cic_comb_inst       ; 45    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|varcic_inst_I1|cic_stages[4].cic_integrator_inst ; 45    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|varcic_inst_I1|cic_stages[3].cic_comb_inst       ; 45    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|varcic_inst_I1|cic_stages[3].cic_integrator_inst ; 45    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|varcic_inst_I1|cic_stages[2].cic_comb_inst       ; 45    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|varcic_inst_I1|cic_stages[2].cic_integrator_inst ; 45    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|varcic_inst_I1|cic_stages[1].cic_comb_inst       ; 45    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|varcic_inst_I1|cic_stages[1].cic_integrator_inst ; 45    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|varcic_inst_I1|cic_stages[0].cic_comb_inst       ; 45    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|varcic_inst_I1|cic_stages[0].cic_integrator_inst ; 45    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|varcic_inst_I1                                   ; 24    ; 0              ; 0            ; 0              ; 17     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|cic_inst_Q2|cic_stages[2].cic_comb_inst          ; 27    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|cic_inst_Q2|cic_stages[2].cic_integrator_inst    ; 27    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|cic_inst_Q2|cic_stages[1].cic_comb_inst          ; 27    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|cic_inst_Q2|cic_stages[1].cic_integrator_inst    ; 27    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|cic_inst_Q2|cic_stages[0].cic_comb_inst          ; 27    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|cic_inst_Q2|cic_stages[0].cic_integrator_inst    ; 27    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|cic_inst_Q2                                      ; 20    ; 1              ; 0            ; 1              ; 16     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|cic_inst_I2|cic_stages[2].cic_comb_inst          ; 27    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|cic_inst_I2|cic_stages[2].cic_integrator_inst    ; 27    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|cic_inst_I2|cic_stages[1].cic_comb_inst          ; 27    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|cic_inst_I2|cic_stages[1].cic_integrator_inst    ; 27    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|cic_inst_I2|cic_stages[0].cic_comb_inst          ; 27    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|cic_inst_I2|cic_stages[0].cic_integrator_inst    ; 27    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|cic_inst_I2                                      ; 20    ; 1              ; 0            ; 1              ; 17     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst|cordic_inst                                      ; 45    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[1].receiver_inst                                                  ; 52    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|fir2|DH|ram|altsyncram_component|auto_generated  ; 54    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|fir2|DH|ram                                      ; 54    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|fir2|DH|rom|altsyncram_component|auto_generated  ; 9     ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|fir2|DH|rom                                      ; 9     ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|fir2|DH                                          ; 46    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|fir2|CG|ram|altsyncram_component|auto_generated  ; 54    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|fir2|CG|ram                                      ; 54    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|fir2|CG|rom|altsyncram_component|auto_generated  ; 9     ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|fir2|CG|rom                                      ; 9     ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|fir2|CG                                          ; 46    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|fir2|BF|ram|altsyncram_component|auto_generated  ; 54    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|fir2|BF|ram                                      ; 54    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|fir2|BF|rom|altsyncram_component|auto_generated  ; 9     ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|fir2|BF|rom                                      ; 9     ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|fir2|BF                                          ; 46    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|fir2|AE|ram|altsyncram_component|auto_generated  ; 54    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|fir2|AE|ram                                      ; 54    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|fir2|AE|rom|altsyncram_component|auto_generated  ; 9     ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|fir2|AE|rom                                      ; 9     ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|fir2|AE                                          ; 46    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|fir2                                             ; 39    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|varcic_inst_Q1|cic_stages[4].cic_comb_inst       ; 45    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|varcic_inst_Q1|cic_stages[4].cic_integrator_inst ; 45    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|varcic_inst_Q1|cic_stages[3].cic_comb_inst       ; 45    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|varcic_inst_Q1|cic_stages[3].cic_integrator_inst ; 45    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|varcic_inst_Q1|cic_stages[2].cic_comb_inst       ; 45    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|varcic_inst_Q1|cic_stages[2].cic_integrator_inst ; 45    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|varcic_inst_Q1|cic_stages[1].cic_comb_inst       ; 45    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|varcic_inst_Q1|cic_stages[1].cic_integrator_inst ; 45    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|varcic_inst_Q1|cic_stages[0].cic_comb_inst       ; 45    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|varcic_inst_Q1|cic_stages[0].cic_integrator_inst ; 45    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|varcic_inst_Q1                                   ; 24    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|varcic_inst_I1|cic_stages[4].cic_comb_inst       ; 45    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|varcic_inst_I1|cic_stages[4].cic_integrator_inst ; 45    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|varcic_inst_I1|cic_stages[3].cic_comb_inst       ; 45    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|varcic_inst_I1|cic_stages[3].cic_integrator_inst ; 45    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|varcic_inst_I1|cic_stages[2].cic_comb_inst       ; 45    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|varcic_inst_I1|cic_stages[2].cic_integrator_inst ; 45    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|varcic_inst_I1|cic_stages[1].cic_comb_inst       ; 45    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|varcic_inst_I1|cic_stages[1].cic_integrator_inst ; 45    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; radioberry_core_i|radio_i|MDC[0].receiver_inst|varcic_inst_I1|cic_stages[0].cic_comb_inst       ; 45    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
